predicted_probs,target
0.022946283,0
0.0057973955,0
0.43247262,0
0.0055237534,0
0.06392694,0
0.0013253991,0
0.23566288,0
0.033053525,0
0.061549667,0
0.33585244,0
0.26348463,0
0.06442737,0
0.0051763724,0
0.112595364,0
0.0006161445,0
0.9338094,0
0.13451715,0
0.01776742,0
0.0017546059,0
0.02763997,0
0.00081813394,0
0.25786123,0
0.002549382,0
0.06518074,0
0.99774975,0
0.048391365,0
0.00084106,0
0.7059995,0
0.14810225,0
0.0043339664,0
0.26941156,0
0.03242015,0
0.038504384,0
0.11943402,0
0.43551558,0
0.06972147,0
0.0024660972,0
0.2992297,0
0.001724033,0
0.7379113,0
0.14668867,0
0.07101383,0
0.0035299168,0
0.05522029,0
0.35440972,0
0.003915251,0
0.0016589131,0
0.9274288,0
0.0003275022,0
0.19852109,0
0.01568067,0
0.1277953,0
0.37743178,0
0.0069448776,0
0.48204526,0
0.09087423,0
0.13443801,0
0.5875957,0
0.5840949,0
0.036840085,0
0.003943477,0
0.18377012,0
0.022829955,0
0.015386219,0
0.014382302,0
0.0041304324,0
0.006640314,0
0.14306685,0
0.006738527,0
0.0021248502,0
0.023625262,0
0.16390358,0
0.9931885,0
0.7621013,0
0.28893596,0
0.1892343,0
0.012361201,0
0.0027711147,0
0.0033925858,0
0.0013119559,0
0.7223587,0
0.16877662,0
0.107964255,0
0.100735836,0
0.21316509,0
0.15973458,0
0.61963314,0
0.19468807,0
0.000629239,0
0.91431683,0
0.007628202,0
0.17871101,0
0.010968808,0
0.8505216,0
0.0070794076,0
0.034508523,0
0.022100586,0
0.00039545225,0
0.0017284702,0
0.001981101,0
0.9995623,0
0.01725154,0
0.5871455,0
0.777908,0
0.08466068,0
0.18928969,0
0.0016946727,0
0.98856163,1
0.9923211,1
0.9098477,1
0.99996924,1
0.9966092,1
0.9911255,1
0.8137291,1
0.45113677,1
0.9998424,1
0.9982811,1
0.8887278,1
0.9671459,1
0.99902487,1
0.9999999,1
0.99977225,1
0.9999813,1
0.8733823,1
0.25874415,1
0.52021164,1
0.68501,1
0.9978079,1
0.9999925,1
0.008142886,1
0.98466164,1
0.6062362,1
0.9868607,1
0.999962,1
0.99978346,1
0.015310653,1
0.21976729,1
0.9748984,1
0.999509,1
0.4059935,1
0.9102733,1
0.9698674,1
0.71009046,1
0.8626563,1
0.6415577,1
0.3683856,1
0.9998184,1
0.9999895,1
0.9394761,1
0.74768966,1
0.15663946,1
0.99922097,1
0.9624207,1
0.9959227,1
0.91101325,1
0.80032575,1
0.9998104,1
0.98448205,1
0.83638376,1
0.9999908,1
0.9600209,1
0.98326576,1
0.9996051,1
0.9973218,1
0.74818337,1
0.9417411,1
0.29128307,1
0.9966054,1
0.99651283,1
0.7147279,1
0.99999833,1
0.99433184,1
0.7536633,1
0.99983203,1
0.6894309,1
0.9842179,1
0.999889,1
0.9807973,1
0.96242535,1
0.9996462,1
0.9981718,1
0.99969923,1
0.9999566,1
0.23202057,1
0.99529296,1
0.9626697,1
0.6975399,1
0.28529555,1
0.9999994,1
0.9824097,1
0.9985862,1
0.70547163,1
0.7241907,1
0.890496,1
0.99968207,1
0.9744037,1
0.96399295,1
0.96255445,1
0.9995505,1
0.99963856,1
0.29853752,1
0.97683674,1
0.9873059,1
0.9994978,1
0.99853206,1
0.8243319,1
0.9985671,1
0.10838303,1
0.98278826,1
0.3938835,1
0.98076665,1
0.98304164,1
