predicted_probs,target
0.6550744,0
0.047160346,0
0.03901386,0
0.03409931,0
0.60607773,0
0.08687549,0
0.007914343,0
0.011745885,0
0.55489415,0
0.1001366,0
0.028420268,0
0.8048321,0
0.10669541,0
0.0062383115,0
0.58185685,0
0.8460978,0
0.1684178,0
0.77599305,0
0.015107467,0
0.08534663,0
0.0040984093,0
0.8823228,0
0.08776333,0
0.7057544,0
0.079489104,0
0.798624,0
0.089299716,0
0.024040181,0
0.6860593,0
0.010206482,0
0.2506811,0
0.018909147,0
0.06687894,0
0.13855213,0
0.0167839,0
0.27915025,0
0.039950266,0
0.78663456,0
0.43703514,0
0.02193163,0
0.28266507,0
0.5656713,0
0.95547247,0
0.14093223,0
0.7660242,0
0.06875202,0
0.122449845,0
0.36267564,0
0.5459728,0
0.029073382,0
0.0074897273,0
0.005299278,0
0.108289175,0
0.9981681,0
0.4406098,0
0.06775064,0
0.5193936,0
0.43500006,0
0.019903272,0
0.0170784,0
0.023509717,0
0.11553649,0
0.13785967,0
0.13889997,0
0.007228378,0
0.0333882,0
0.31718603,0
0.80917144,0
0.0596831,0
0.10272205,0
0.15304257,0
0.68324745,0
0.014317152,0
0.3435225,0
0.02132894,0
0.28674412,0
0.19163837,0
0.98431236,0
0.1540524,0
0.0059452327,0
0.03139514,0
0.02481986,0
0.014195436,0
0.003880486,0
0.054998633,0
0.19008234,0
0.70021045,0
0.0063201236,0
0.11638322,0
0.23764025,0
0.210082,0
0.2018524,0
0.032781035,0
0.07106791,0
0.45780742,0
0.027335167,0
0.80299103,0
0.0055410815,0
0.05959239,0
0.67650455,0
0.06499846,0
0.026550531,0
0.005585966,0
0.15518847,0
0.049024794,0
0.07088485,0
0.05580314,0
0.011174913,0
0.4918067,0
0.4852716,0
0.9775999,0
0.8532446,0
0.34391344,0
0.04745718,0
0.019336548,0
0.14609769,0
0.12998638,0
0.38531598,0
0.18656744,0
0.123551086,0
0.99744666,1
0.9997112,1
0.9873647,1
0.9995073,1
0.9999275,1
0.99908626,1
0.99998033,1
0.9999062,1
0.3944273,1
0.5189541,1
0.9999943,1
0.69864875,1
0.93409246,1
0.14927694,1
0.9984805,1
0.73774284,1
0.9704301,1
0.9932868,1
0.60159516,1
0.9989875,1
0.999977,1
0.58619654,1
0.888684,1
0.68460405,1
0.9999666,1
0.98204845,1
0.32744125,1
0.9432047,1
0.9979316,1
0.9927209,1
0.99917775,1
0.9995838,1
0.9612406,1
0.99995136,1
0.9722435,1
0.9546863,1
0.9994479,1
0.9991246,1
0.69908285,1
0.5045491,1
0.98332256,1
0.99949574,1
0.917446,1
0.99705124,1
0.99994445,1
0.9903352,1
0.98846173,1
0.48471615,1
0.31280547,1
0.99999523,1
0.9998739,1
0.8883964,1
0.9979498,1
0.9412541,1
0.95049685,1
0.99998605,1
0.9834584,1
0.9997527,1
0.8860602,1
0.9999926,1
0.66826326,1
0.9998803,1
0.48840988,1
0.99999356,1
0.9997844,1
0.24557163,1
0.8379231,1
0.84767586,1
0.9938233,1
0.9804125,1
0.8297781,1
0.97914714,1
0.9964688,1
0.7773485,1
0.85332733,1
0.9492135,1
0.30935898,1
0.89834017,1
0.9862683,1
0.9999957,1
0.99995744,1
0.98438305,1
0.97709364,1
0.9660999,1
0.99960357,1
0.30817404,1
0.99970883,1
0.99994266,1
0.8775654,1
0.9992731,1
0.53387004,1
0.93800575,1
0.99884415,1
0.9650001,1
0.9791804,1
0.9989637,1
0.88794345,1
0.94382465,1
0.9096022,1
0.98500675,1
0.9732641,1
0.9929016,1
0.9999697,1
0.99439394,1
0.9405969,1
0.99914074,1
0.99536884,1
0.7053345,1
0.7442679,1
0.10104548,1
0.75448555,1
0.9952231,1
0.9971353,1
0.99968255,1
0.8963478,1
0.6409436,1
0.99926823,1
0.98985624,1
0.97856116,1
0.89310575,1
0.9978644,1
0.99905163,1
0.8487804,1
0.999691,1
0.99791616,1
0.99918765,1
0.9997818,1
0.46952698,1
0.89214057,1
0.9574713,1
0.43706536,1
0.9985582,1
0.99996424,1
0.998201,1
0.99968374,1
